ObjectType;Name;AdviseType;AlarmVerify;AllowRead;AllowWrite;DeviceHigh;DeviceLow;DisableIOServerPool;DocString;DriverLocation;DriverName;EnableDeadband;EnableDriverEvent;EnableReadGrouping;EnableScaling;EU;EUHigh;EULow;IsAlarmArea;N1;N2;N3;N4;P1;P2;P3;P4;ParamDevice;ParamItem;PathContainer;PathName;PathVolume;PercentDeadband;ReadRetries;Scan;ShareMaximum;ShareServer;UseBitFields;WriteFeedbackMode;WriteRetries;WriteSyncMode
IODriver;"";;;;;;;False;"";"Drivers\\Modbus.dll";"Driver Modicon Modbus v3.1.30 (IOKitLib v2.0.55)";;;False;;;;;False;;;;;0;0;0;0;"";;"";"Carel";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";;0;;0;False;;1;0;0
IOFolder;"Balcao1";;;;;;;;"";;;;;;;;;;False;;;;;;;;;"";;"Carel";"Carel.Balcao1";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";;;;;;;;;
IOTag;"Balcao1.TagTempInterna";1;;True;True;10;0;;"";;;True;False;;True;"";1;0;False;1;1;0;2;;;;;"";"";"Carel";"Carel.Balcao1.TagTempInterna";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao1.TagResetalarme";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;1;6;0;57;;;;;"";"";"Carel";"Carel.Balcao1.TagResetalarme";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao1.TagHabilitaTipoOperacao";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;1;1;0;170;;;;;"";"";"Carel";"Carel.Balcao1.TagHabilitaTipoOperacao";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao1.TagFuncaoDisplay";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;1;1;0;158;;;;;"";"";"Carel";"Carel.Balcao1.TagFuncaoDisplay";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao1.TagFuncaoSensor";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;1;1;0;122;;;;;"";"";"Carel";"Carel.Balcao1.TagFuncaoSensor";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao1.TagOffsetSensorDois";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;1;1;0;12;;;;;"";"";"Carel";"Carel.Balcao1.TagOffsetSensorDois";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao1.TagOffsetSensorUm";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;1;1;0;11;;;;;"";"";"Carel";"Carel.Balcao1.TagOffsetSensorUm";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao1.TagTipoSensor";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;1;1;0;120;;;;;"";"";"Carel";"Carel.Balcao1.TagTipoSensor";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao1.TagSetAlarmeBaixo";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;1;1;0;19;;;;;"";"";"Carel";"Carel.Balcao1.TagSetAlarmeBaixo";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao1.TagSetAlarmeAlto";1;;True;True;10;0;;"";;;True;False;;True;"";1;0;False;1;1;0;20;;;;;"";"";"Carel";"Carel.Balcao1.TagSetAlarmeAlto";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao1.TagSetPointTempInterna1";1;;True;True;10;0;;"";;;True;False;;True;"";1;0;False;1;1;0;4;;;;;"";"";"Carel";"Carel.Balcao1.TagSetPointTempInterna1";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao1.TagStatusSaida1";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;1;1;0;227;;;;;"";"";"Carel";"Carel.Balcao1.TagStatusSaida1";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao1.TagDiaLigar1";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;1;1;0;206;;;;;"";"";"Carel";"Carel.Balcao1.TagDiaLigar1";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao1.TagHoraLigar1";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;1;1;0;207;;;;;"";"";"Carel";"Carel.Balcao1.TagHoraLigar1";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao1.TagMinutoLigar1";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;1;1;0;208;;;;;"";"";"Carel";"Carel.Balcao1.TagMinutoLigar1";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao1.TagDiaDesligar1";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;1;1;0;209;;;;;"";"";"Carel";"Carel.Balcao1.TagDiaDesligar1";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao1.TagHoraDesligar1";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;1;1;0;210;;;;;"";"";"Carel";"Carel.Balcao1.TagHoraDesligar1";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao1.TagMinutoDesligar1";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;1;1;0;211;;;;;"";"";"Carel";"Carel.Balcao1.TagMinutoDesligar1";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao1.TagAjustaAno1";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;1;1;0;101;;;;;"";"";"Carel";"Carel.Balcao1.TagAjustaAno1";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao1.TagAjustaMes1";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;1;1;0;102;;;;;"";"";"Carel";"Carel.Balcao1.TagAjustaMes1";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOFolder;"Balcao2";;;;;;;;"";;;;;;;;;;False;;;;;;;;;"";;"Carel";"Carel.Balcao2";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";;;;;;;;;
IOTag;"Balcao2.TagSetAlarmeBaixo2";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;2;1;0;19;;;;;"";"";"Carel";"Carel.Balcao2.TagSetAlarmeBaixo2";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao2.TagTempInterna2";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;2;1;0;2;;;;;"";"";"Carel";"Carel.Balcao2.TagTempInterna2";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao2.TagHabilitaTipoOperacao2";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;2;1;0;170;;;;;"";"";"Carel";"Carel.Balcao2.TagHabilitaTipoOperacao2";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao2.TagFuncaoDisplay2";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;2;1;0;158;;;;;"";"";"Carel";"Carel.Balcao2.TagFuncaoDisplay2";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao2.TagResetalarme2";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;2;6;0;57;;;;;"";"";"Carel";"Carel.Balcao2.TagResetalarme2";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
